County Name,Total Population,Median Age,White Alone,Black/African American,Hispanic or Latino,Asian Alone,Median Household Income,Per Capita Income,Persons in Poverty,Unemployment Count,Total Housing Units,Median Gross Rent,Median Home Value,state,county
"Loudon County, Tennessee",55507,48.5,49891,773,5307,550,75008,40425,6519,744,24780,960,263800,47,105
"McMinn County, Tennessee",53532,42.3,48210,1864,2421,421,57982,30334,7109,1276,23933,803,173300,47,107
"McNairy County, Tennessee",25895,42.9,23515,1521,633,146,46920,25004,4263,641,12274,706,125400,47,109
"Macon County, Tennessee",25365,39.1,23262,178,1352,97,51215,24979,4123,441,10693,789,185100,47,111
"Madison County, Tennessee",98644,38.4,55026,36681,4219,998,55280,31380,17188,3608,43748,994,170700,47,113
"Marion County, Tennessee",28852,43.6,26560,838,609,149,58139,29314,4642,739,13663,824,153000,47,115
"Marshall County, Tennessee",34567,39.3,30960,1629,2085,204,65325,32225,5302,1003,14357,887,218500,47,117
"Maury County, Tennessee",102002,39.4,82838,11082,6747,890,71500,35733,8938,1303,43464,1126,273400,47,119
"Meigs County, Tennessee",12839,45.5,11708,306,155,67,59434,26843,1964,403,6087,832,163000,47,121
"Monroe County, Tennessee",46489,44.6,41740,858,2124,194,52123,27356,7235,1287,21383,668,174800,47,123
"Montgomery County, Tennessee",222305,31.4,145652,44841,23819,5369,67890,31438,25950,6107,87220,1128,226400,47,125
"Moore County, Tennessee",6558,46.4,6065,240,31,60,69250,35178,640,129,2981,769,256700,47,127
"Morgan County, Tennessee",21124,41.6,19222,1037,347,42,51971,27320,3897,669,8546,742,133000,47,129
"Obion County, Tennessee",30670,42.3,25083,3235,1562,67,50638,28782,4867,700,14335,732,119500,47,131
"Overton County, Tennessee",22576,43.1,21731,283,419,57,46580,29556,3840,367,10353,777,156000,47,133
"Perry County, Tennessee",8432,42.8,7700,30,85,186,55978,30870,1172,380,4808,699,122900,47,135
"Pickett County, Tennessee",5042,51.1,4832,14,112,0,44317,27259,1043,81,3361,720,149300,47,137
"Polk County, Tennessee",17620,46.3,16164,72,394,37,53775,30400,2222,621,8681,678,128200,47,139
"Putnam County, Tennessee",80157,36.3,71995,1782,5397,841,54371,29419,12497,1808,35507,842,221200,47,141
"Rhea County, Tennessee",33031,40.9,29883,568,1818,312,55568,26678,5055,1122,15175,780,155800,47,143
"Roane County, Tennessee",53777,47.4,49424,1450,1201,354,66460,36579,6466,1219,25459,753,193400,47,145
"Robertson County, Tennessee",73297,39.4,61202,5263,5636,524,74440,35093,7470,1412,28703,1065,271300,47,147
"Rutherford County, Tennessee",343727,34.0,244580,52366,31382,12520,78291,35135,33248,7547,131808,1311,305100,47,149
"Scott County, Tennessee",21917,40.7,21243,71,50,85,39744,22273,5499,844,9834,646,113900,47,151
"Sequatchie County, Tennessee",16065,44.4,15155,85,635,44,53038,25954,3520,219,6915,786,184600,47,153
"Sevier County, Tennessee",98455,43.9,89260,924,6786,1202,60103,31603,12864,1720,56728,968,239800,47,155
"Shelby County, Tennessee",926440,35.9,339650,498214,62832,26723,59621,36230,164861,33975,401041,1103,206100,47,157
"Smith County, Tennessee",20034,40.5,18259,377,639,90,57677,31446,2950,329,8577,809,200500,47,159
"Stewart County, Tennessee",13724,44.3,12689,101,492,75,57257,28362,1547,220,6695,725,163700,47,161
"Sullivan County, Tennessee",158722,45.2,147979,3156,3534,1225,54357,33934,23761,4568,75686,793,173000,47,163
"Sumner County, Tennessee",196845,39.8,162426,16573,11143,3068,81883,40419,18315,3603,79481,1245,332700,47,165
"Tipton County, Tennessee",61116,38.4,46532,11312,1796,341,70674,31909,6509,1586,24045,1013,203500,47,167
"Trousdale County, Tennessee",11596,34.6,9524,1368,340,20,62018,26522,1044,40,3776,822,217400,47,169
"Unicoi County, Tennessee",17845,47.4,16788,53,1048,27,49855,27930,2880,438,8733,664,150600,47,171
"Union County, Tennessee",19860,42.6,18994,109,394,5,57094,28174,3110,495,9609,838,164400,47,173
"Van Buren County, Tennessee",6182,47.4,5882,8,56,14,44730,24099,1012,104,2896,658,132700,47,175
"Warren County, Tennessee",41163,40.3,35577,1145,3907,176,52948,27059,6818,715,18164,734,149700,47,177
"Washington County, Tennessee",133282,40.1,118530,4931,5172,2094,58507,35562,20237,3307,60904,890,211100,47,179
"Wayne County, Tennessee",16325,44.3,14645,786,386,22,49360,26538,2837,301,7184,606,129000,47,181
"Weakley County, Tennessee",32946,37.9,28807,2593,988,390,47769,26820,5796,587,15002,723,123100,47,183
"White County, Tennessee",27420,43.0,25788,494,801,95,48220,26213,4605,642,12020,835,161500,47,185
"Williamson County, Tennessee",248897,40.0,210242,9729,12682,12808,125943,61451,10337,2754,91828,1817,611100,47,187
